Comment,Designator,Footprint,LCSC
Conn_02x05_Odd_Even,J2,PinHeader_2x05_P2.54mm_Vertical_SMD,C124391
100nF,C3,C_0603_1608Metric,C14663
1uF,C1,C_0603_1608Metric,C15849
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,C165948
180k,R9,R_0603_1608Metric,C22827
1M0,"R10,R3,R8",R_0603_1608Metric,C22935
220,R4,R_0603_1608Metric,C22962
5.1k,"R1,R2",R_0603_1608Metric,C23186
2.2uF,C2,C_0603_1608Metric,C23630
10k,"R5,R6",R_0603_1608Metric,C25804
AFC20-S02ACA-00,X1,CONN-SMD_AFC20-S02ACA-00,C2764211
SHTC3-10000,U3,DFN-4_L2.0-W2.0-P1.00-BL-EP,C2880044
TS-1187A-B-A-B,"RESET1,SW1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
XDMCZLNDDF-0.032768MHZ,X2,CRYSTAL-SMD_L3.2-W1.5-1,C32346
E73-2G4M08S1C,U1,WIRELM-SMD_E73-2G4M08S1C,C356849
12pF,"C4,C5",C_0603_1608Metric,C38523
1M5,R7,R_0603_1608Metric,C4172
MSK12C02,SW3,SW-TH_MSK12C02,C431540
DMC2400UV-13,Q1,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,C500791
XL-2012SURC,LED1,LED0805-RD_RED,C84256
TPS70933DBVR,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C89347
MountingHole,H1,MountingHole_3.2mm_M3,
MountingHole,H4,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H3,MountingHole_3.2mm_M3,
